StartDate;EndDate;Status;IPAddress;Progress;Duration (in seconds);Finished;RecordedDate;ResponseId;RecipientLastName;RecipientFirstName;RecipientEmail;ExternalReference;LocationLatitude;LocationLongitude;DistributionChannel;UserLanguage;Q6_1;Q7_1;ADVANTAGES;DISADVANTAGES;Q10_1;Q10_2;Q10_3;Q10_4;Q10_5;Q10_6;Q10_7;Q10_8;Q10_9;Q11_1;Q11_2;Q11_3;Q11_4;Q11_5;Q11_6;Q11_7;Q11_8;Q11_9;Q11_10;USE1;USE2;USE3;Q13_1;Q13_2;Q13_3;WB1;WB2;WB3;INTENTION1;INTENTION2;Q16;Q17;Q18
2/06/20 15:58;2/06/20 16:06;0;93.28.23.211;100;461;1;2/06/20 16:06;R_3XfPzd9s7glnEuR;;;;;43,604599;1,445098877;anonymous;EN;5;4;Avantages pour avoir un suivi quotidien, des recommandations et de la personnalisation. On peut aussi avoir des notifications pour se rappeler de certaines choses.;Inconvénients parce que le coach n’est pas un humain on peut ne pas avoir totalement confiance, peut être pas adapté à ce que l’on recherche;5;6;4;1;1;6;2;3;1;7;6;6;6;6;3;2;2;2;2;5;5;5;4;4;4;4;4;4;13;23;1;21;2
2/06/20 16:02;2/06/20 16:09;0;92.184.108.16;100;449;1;2/06/20 16:09;R_1gFtnOe4X2mxyrU;;;;;43,604599;1,445098877;anonymous;EN;7;5;L’avantage est que l’on a toutes les informations directement à un même endroit, là où cela devient intéressant c’est lorsque la personnalisation est poussée jusqu’à donner des conseils de professionnels en fonction de nos résultats.;Tout dépend où sont stockées les datas récoltées et comment elles sont exploitées. Une bonne personnalisation oui mais pas à n’importe quel prix. Je n’ai pas envie de me retrouver avec des publicités à outrance.;7;7;1;1;1;1;1;1;1;7;7;7;7;7;1;1;1;1;1;6;6;6;6;6;6;4;4;4;100;100;1;25;2
2/06/20 16:02;2/06/20 16:09;0;78.224.44.193;100;424;1;2/06/20 16:09;R_VL4Yal4ohXnd8L7;;;;;43,5756073;1,268493652;anonymous;EN;6;2;Avoir des informations sur son corps que l’on n’a pas en temps normal, pouvoir rectifier quand certaines données sortent de la norme, suivre ses évolutions ce qui peut être une source de motivation. ;Faire trop attention à son apparence physique, repousser sans cesse les limites de son corps, développer un culte de la perfection du corps. ;3;3;3;1;1;5;1;4;1;7;7;7;7;7;5;3;3;4;1;6;6;6;5;5;5;4;5;3;60;60;1;22;2
2/06/20 16:48;2/06/20 16:58;0;37.166.27.146;100;557;1;2/06/20 16:58;R_3PZiHgMfeRku9Hm;;;;;48,85820007;2,338699341;anonymous;EN;7;4;Ceci permet de faciliter un suivi de notre santé et de ce que l'on fait afin d'être bien. Ceci facilite également la mesure des apports nutritionnels des aliments consommés. ;Sûrement si un des équipements ne fonctionne plus, ça va générer un bug. Il s'agit aussi d'une invasion à la privacité, puisque ces données seront probablement utilisées par la suite pour nous vendre d'autres produits ;6;6;3;2;1;3;1;1;2;6;6;5;7;6;3;1;1;1;1;5;4;4;2;1;4;2;4;3;10;1;1;22;2
2/06/20 18:56;2/06/20 18:59;0;176.138.106.151;100;209;1;2/06/20 19:00;R_2w1criolaitzCaP;;;;;43,61070251;3,880905151;anonymous;EN;5;3;"aide, informations pertinentes... possibilité d'avoir des conseils adaptées";"cela devrait devenir un peu énervant... cela pourrait être considéré comme une fausse personnalisationpeu d'interactions";1;4;1;1;1;1;1;1;1;7;7;7;7;7;1;1;1;1;1;7;7;7;7;4;4;5;4;4;60;60;2;47;2
2/06/20 20:12;2/06/20 20:33;0;176.179.108.193;100;1261;1;2/06/20 20:33;R_2fs7bFHeN7QpOEk;;;;;43,61390686;3,810592651;anonymous;EN;5;4;Cela permet de voir notre évolution physique, de voir comment nous répartissons les macros;Utilisation des données personnelles, et ce n’est pas non plus très personnalisé ;7;7;6;2;2;2;2;2;2;6;6;6;6;6;2;2;2;2;2;5;5;5;4;4;4;4;4;4;70;80;1;23;2
2/06/20 19:30;2/06/20 20:35;0;77.204.144.14;100;3872;1;2/06/20 20:35;R_Tn5ed2a56eVLjZ7;;;;;48,85429382;2,352706909;anonymous;EN;6;2;"Le Suivi personnalisé me parait être un avantage de cette applicationLe rappel quotidien me parait être un avantage de cette application";"Prend la tête avec les notifications.Prend du temps";1;6;3;1;1;3;1;1;1;7;7;6;7;6;1;1;1;1;1;5;5;5;4;1;5;3;4;4;15;20;1;25;1
2/06/20 20:39;2/06/20 20:44;0;86.201.249.123;100;315;1;2/06/20 20:44;R_28HYKkb29w6BmKT;;;;;43,604599;1,445098877;anonymous;EN;7;2;Avoir un programme ultra adapté à ses souhaits, avantage d'avoir une application développée pour soi et qui est responsable à la place de l'individu.;Extrêmement intrusif car l'application va ensuite la vie de l'individu (nourriture, sorties...), de plus le côté analyse de données bien que pertinent semble très sensible....;5;5;6;2;2;5;1;2;1;7;7;6;7;7;2;2;3;1;1;5;5;4;4;4;5;5;5;5;30;30;2;34;1
3/06/20 7:46;3/06/20 7:50;0;90.50.17.43;100;201;1;3/06/20 7:50;R_BVvpg1LI3K9hCIF;;;;;44,84120178;-0,580596924;anonymous;EN;5;4;Cela permet d’avoir un suivi quotidien à la maison et sans se déplacer. Cela permet notamment de se motiver si on reçoit un sms régulièrement.;Le fait de déshumaniser le coach peut il également repousser la volonté de faire du sport ? ;6;7;7;1;7;7;1;1;1;7;7;7;7;7;7;4;3;3;3;5;4;6;4;6;7;6;6;4;70;81;1;21;2
3/06/20 10:54;3/06/20 10:59;0;176.151.186.89;100;268;1;3/06/20 10:59;R_2TLZEYTTdKUPnHq;;;;;43,604599;1,445098877;anonymous;EN;6;3;Les avantages principaux sont le suivi et la visibilité des améliorations au cours du temps, la disponibilité du coach est aussi un avantage intéressant.;La conversation avec le coach est limitée (aucune question ne peut être posée je suppose);7;7;5;3;3;2;1;1;1;7;7;7;6;6;5;3;3;2;1;6;5;5;4;4;6;5;5;5;20;30;1;20;2
3/06/20 10:54;3/06/20 11:04;0;176.165.141.83;100;604;1;3/06/20 11:04;R_3Jszza6ShE2w8Qz;;;;;43,604599;1,445098877;anonymous;EN;7;5;Ça permet à l'utilisateur de prendre soin de lui avec facilité, tout les informations importantes sont regroupés dans une seule et même application. Ça lui permettra de suivre ses données et son évolution.;Le manque du côté humain. Si l'utilisateur a un coup de mou, l'application ne sera pas en capacité de l'écouter, de le conseiller et l'encourager comme pourrait le faire un coach.;7;7;6;3;3;4;1;2;2;7;7;7;7;7;3;3;3;3;5;7;6;7;5;5;6;6;6;4;100;100;1;20;2
3/06/20 13:07;3/06/20 13:13;0;92.95.16.107;100;356;1;3/06/20 13:13;R_3Ez0LotTNximBci;;;;;48,85820007;2,338699341;anonymous;EN;2;2;Avoir un contrôle plus régulier et complet sur son mode de vie. Prendre le temps de voir comment on vit. ;Problème de données personnelles, application souvent chronophage et inadaptée aux changements du quotidien. ;2;5;1;1;1;1;1;1;1;5;5;3;5;2;1;1;1;1;1;4;4;4;2;2;2;1;4;1;0;4;2;32;2
3/06/20 14:29;3/06/20 14:33;0;90.89.245.170;100;281;1;3/06/20 14:33;R_1eITtjBVKnkny3w;;;;;43,604599;1,445098877;anonymous;EN;6;3;très pratique pour traiter des donnés quantitatives ;moins pratique pour traiter les donnés qualitatives ;5;5;1;1;1;5;1;1;1;7;7;7;7;7;1;1;1;1;5;6;6;6;5;5;5;5;6;5;70;70;1;22;1
3/06/20 15:04;3/06/20 15:08;0;77.240.193.145;100;266;1;3/06/20 15:08;R_1qeOWKhjX9TO1rg;;;;;43,28829956;-0,386901855;anonymous;EN;5;3;Les avantages d'une telle application sont le gain de temps, la véracité des informations, une réelle motivation ;Les inconvénients d'une telle application sont le perte du côté humain avec un nutritionniste ou un coach sportif;7;7;6;1;3;3;3;2;1;7;7;7;7;7;3;3;3;3;1;5;5;3;4;2;2;3;5;1;40;31;2;22;2
3/06/20 15:57;3/06/20 16:01;0;80.215.84.232;100;204;1;3/06/20 16:01;R_xAEHejZJplc67Yt;;;;;48,85429382;2,352706909;anonymous;EN;4;3;"Suivi de nos performances Aides dans la gestion du sport / alimentation ";"Pas vraiment personnalisee Possibilités de perdre nos performances si il y a un beug ";3;7;1;1;1;2;1;1;1;7;7;7;7;7;3;1;1;1;1;5;5;5;4;5;6;6;5;5;20;51;3;22;2
3/06/20 15:54;3/06/20 16:03;0;176.149.83.172;100;501;1;3/06/20 16:03;R_3gRT6cYNw0NGk46;;;;;43,3177948;5,412506104;anonymous;EN;6;4;Les avantages d'utiliser cette application sont le fait de savoir les calories brûlées et donc combien en consommer et nos besoins énergétiques quotidiens assimilés par les aliments;Les inconvénients sont le fait de ne pas savoir si c'est une femme ou un homme ( les apports sont différents ainsi que la composition corporelle) et de savoir si c'est un sportif haut niveau, dans quelle phase elle se situe ( entraînement,  pre-competition, compétition, récupération );6;7;5;1;1;6;5;2;1;7;7;7;7;7;7;4;4;4;1;5;5;6;4;4;6;5;5;5;72;74;1;18;2
3/06/20 16:01;3/06/20 16:06;0;80.215.116.150;100;297;1;3/06/20 16:06;R_1K3XTE4PBCv5lwB;;;;;45,7480011;4,850006104;anonymous;EN;5;5;"- analyse complète du corps- suivi de l'alimentation au fil du temps";"- dépendance sur une appli- possible frustration culinaire";7;6;6;5;1;4;1;1;1;6;6;7;7;7;5;3;2;2;5;5;5;5;5;5;5;6;6;5;81;81;2;24;1
3/06/20 16:03;3/06/20 16:07;0;109.217.193.67;100;256;1;3/06/20 16:07;R_1rq5PTqKWzO6QvI;;;;;46,63330078;5,5;anonymous;EN;7;2;Le fait d'avoir les données connectées comme cela est pratique et les données peuvent se croisées. De plus l'application nous permet de voir sur le long terme.;Les conseils sont personnalisés certes, mais lors d'une baisse de motivation cela n'est pas adapté. ;7;7;7;1;1;1;1;1;1;7;7;7;7;7;4;1;1;1;1;6;4;5;4;4;4;3;3;3;50;50;2;28;2
3/06/20 16:08;3/06/20 16:14;0;185.25.192.107;100;364;1;3/06/20 16:14;R_1NDKJ94nS54SMAd;;;;;46,53840637;6,533401489;anonymous;EN;4;3;"Pratique et intéressant Peut être accessible à tout moment";"L’interaction se passe avec un Robot (impersonnel) ";6;1;1;1;1;1;1;1;1;6;6;6;6;6;6;6;6;2;1;2;2;3;4;1;2;2;2;2;10;10;1;24;2
3/06/20 16:14;3/06/20 16:26;0;90.76.97.89;100;746;1;3/06/20 16:26;R_3EyGWlAby6vCMdY;;;;;43,604599;1,445098877;anonymous;EN;3;1;"Rapidité des analyses des données.Disponible à tout moment.";"Besoin d'équipement personnel.N’apporte rien de plus qu’une lecture d’information.";4;2;1;1;1;5;1;1;1;7;7;7;5;5;1;1;1;1;1;6;4;4;4;4;4;5;5;4;20;30;1;22;2
3/06/20 16:37;3/06/20 16:40;0;109.3.137.156;100;178;1;3/06/20 16:40;R_WDtd2WL4wpXAew9;;;;;48,85429382;2,352706909;anonymous;EN;5;1;"suivi personnalisé à tout moment application certainement moins onéreuse qu'un coach réel";suivi informatisé pas de contact humain, ni de proximité, ni de motivation humaine;6;6;3;2;6;3;2;2;2;6;6;6;6;6;2;2;2;2;2;5;5;5;5;5;5;2;5;4;39;53;1;24;2
3/06/20 16:40;3/06/20 16:47;0;86.250.243.163;100;410;1;3/06/20 16:47;R_29aWRWgxn9b8Bzh;;;;;43,604599;1,445098877;anonymous;EN;7;4;L’avantage principal serait la fait d’avoir accès à toutes ces données directement à un seul et unique endroit, ensuite elle permet aussi de ne pas avoir à calculer cela soit même;Cela peut devenir maladif, monopoliser l’esprit des gens, le contrôle du poids et des activités physique doit se faire dans un bon état d’esprit et il ne faut pas que cette application deviennent celle que tu vérifies 16 fois dans la journée ;7;7;2;1;4;7;2;1;1;7;5;7;7;5;1;3;1;5;7;5;5;7;4;4;7;6;4;4;70;70;1;23;2
3/06/20 17:29;3/06/20 17:34;0;92.158.202.57;100;320;1;3/06/20 17:34;R_2bVRXCQ3NbiGzGp;;;;;44,13450623;0,661804199;anonymous;EN;5;4;L'avantage est que l'on a l'impression d'être suivi par un professionnel, ce qui donne une légitimité à ces informations et donne confiance;Cela peut conduire les gens à trop se focaliser sur des nombres pour évaluer leur bien être, qui est une variable subjective (je peux être en surpoids et me sentir bien dans mon corps);7;7;6;1;2;1;1;5;1;7;7;6;7;7;3;1;1;1;1;3;4;5;5;5;6;4;4;4;40;45;1;20;2
3/06/20 17:59;3/06/20 18:10;0;176.158.225.105;100;685;1;3/06/20 18:10;R_3M9x4isXudzyAIE;;;;;48,85429382;2,352706909;anonymous;EN;7;6;C'est vraiment possible de prendre soins de la santé de utilisateur de la mellieur façon. Également, je crois que c'est très utile pour suite un regime. ;"RAS.Dans cette décennie de l'intelligence artificielle et sciences de donnés, d'après moi, il n' y a aucun inconvénients. ";7;6;7;4;3;5;6;6;6;6;6;5;6;6;4;6;6;4;4;7;7;7;6;6;6;6;6;6;81;100;1;26;1
3/06/20 18:07;3/06/20 18:18;0;91.164.210.194;100;643;1;3/06/20 18:18;R_zSXoQlJMiNKCDw5;;;;;43,35319519;0,188598633;anonymous;EN;7;7;suivit personnalisé vraiment pointu , tout est pris en compte il devrait etre difficile de faire une erreur le sportif est vraiment coaché ;peut être un peut trop d'intrusion, jusqu'a son frigo si j'ai bien compris attention de pas aller jusqu’à avoir un wc connecté lol ;7;7;7;2;5;7;2;1;1;7;7;7;7;6;5;2;1;1;1;6;6;6;5;4;7;5;5;4;20;20;3;62;1
3/06/20 18:17;3/06/20 18:20;0;176.139.242.115;100;223;1;3/06/20 18:20;R_2YtEnYDEWTCW2UF;;;;;44,32449341;3,065002441;anonymous;EN;6;4;"La personalisation du suivi alimentaire et sportifLa facilité de la conversation virtuelle";"L'aspect humain de la recontre physique avec le coachLa motivation est moins elevée avec un coach virtuel qu'un coach recontré en vrai";6;6;6;4;3;5;1;4;1;7;7;7;7;7;3;1;1;1;1;3;5;4;4;4;5;4;4;4;40;30;1;22;1
3/06/20 19:58;3/06/20 20:06;0;91.173.52.131;100;481;1;3/06/20 20:06;R_2CWfNMDTy7H8J2o;;;;;43,25559998;5,405502319;anonymous;EN;5;1;Le fait de l’utiliser quand on veut, dispo, sans rendez vous ni déplacement ;Ce n’est pas une personne réelle si nos questions sont plus personnelles ;4;6;1;1;1;1;1;1;1;6;6;6;5;6;1;1;1;1;1;4;4;6;4;5;6;2;5;2;60;60;2;31;2
3/06/20 20:26;3/06/20 20:31;0;176.165.140.136;100;326;1;3/06/20 20:31;R_VPClwX1fYmwhk7T;;;;;43,604599;1,445098877;anonymous;EN;7;2;Ca permet un suivi personnalisé et efficace, ca a l'air facilement compréhensible ;Le problème cest qu'il n'y a pas de mise en forme, beaucoup de texte, ce qui ne permet pas de trouver l'info facilement ;7;7;4;1;1;4;1;1;1;6;6;5;5;5;2;1;1;1;1;4;5;4;4;4;4;2;2;2;25;25;1;23;1
3/06/20 21:59;3/06/20 22:07;0;91.174.106.215;100;492;1;3/06/20 22:07;R_cYodSO1KBT6fjfX;;;;;43,53939819;3,457595825;anonymous;EN;4;3;Un suivi précis et des informations précises. Des informations simples à comprendre.;Le manque de chaleur humaine importante dans un suivi de coach à client.;3;7;3;1;1;3;1;1;1;5;5;5;5;5;1;1;1;1;1;4;4;5;4;4;5;4;3;3;41;23;2;24;2
3/06/20 23:18;3/06/20 23:26;0;86.201.42.100;100;481;1;3/06/20 23:26;R_sUwCL2UcMkJITvz;;;;;43,604599;1,445098877;anonymous;EN;4;3;Suivi régulier dans ses objectifs sportifs et nutritionnels + analyse des points positifs et négatifs ;Collecte de données personnelles + pas de contact humain;3;3;2;2;1;2;1;1;1;6;5;5;4;4;3;3;3;2;1;5;4;5;4;4;4;5;5;3;50;50;1;20;2
3/06/20 23:50;3/06/20 23:58;0;91.164.224.91;100;472;1;3/06/20 23:58;R_12RP0RqOujaWEZn;;;;;43,604599;1,445098877;anonymous;EN;7;1;On a un suivi et des conseils afin que vous vous motiver à vous surpasser ;Il prendra pas en compte les réalités de la vie des clients tel que les blessures musculaires, les empêchement etc;6;6;2;1;1;1;1;1;1;6;6;6;6;6;6;6;6;4;1;5;5;5;3;3;3;4;4;4;38;32;1;28;1
4/06/20 8:17;4/06/20 8:26;0;79.82.66.112;100;506;1;4/06/20 8:26;R_eapAkcxm0no6OC5;;;;;49,16679382;5,386398315;anonymous;EN;5;1;L'avantage à utiliser ce genre d'application c'est qu'il ne faut rien rentrer au niveau des données tout est automatique;L'inconvénient c'est que si nous n'avons pas d'appareil connecté je ne vois pas l'intérêt d'utiliser ces genre d'application car ça serait très long de tout rentrer manuellement;7;7;3;1;1;5;1;2;1;7;7;7;7;7;3;3;3;3;3;5;5;5;4;4;5;4;5;5;83;84;2;28;2
4/06/20 8:27;4/06/20 8:33;0;37.167.60.196;100;324;1;4/06/20 8:33;R_1LRR1uFCBRZ3STk;;;;;48,85820007;2,338699341;anonymous;EN;7;1;Permettre de se fixer des objectifs et suivre la progression;"Se sentir harcelerCulpabiliser au quotidienNe pas faire les choses quand on en a envie mais quand l app le demande";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;3;6;1;1;1;1;1;2;44;2
4/06/20 8:59;4/06/20 9:02;0;90.118.46.24;100;222;1;4/06/20 9:02;R_xy1GCVw0vH0AbVT;;;;;43,40690613;5,054901123;anonymous;EN;7;3;Personnalisation limitée mais réelle et pratique facile ;"Ça reste banal et hyper formatéAmélioration à la marge mais pas adapté à ceux qui ont besoin de gros changement ";3;6;2;5;1;5;1;5;1;7;7;6;7;6;3;1;1;1;1;5;2;6;4;4;6;5;5;5;65;65;2;50;2
